Parent_ID,Site_ID,Site_Name,Latitude,Longitude,GPS_Accuracy_ft,Stream_Name,State,Intermittent_or_Perennial,Deploy_Date,Time_Zone,Deploy_miniDOT_Notes,Deploy_Cotton_Strip_Notes,Deploy_Atmospheric_Sensor_Notes,Deploy_Notes,Sample_Date,Sample_Time_Arriving_PST,Sample_Time_Leaving_PST,Weather,Sediment,Percent_Canopy_Coverage,Percent_Macrophyte_Coverage,Percent_Algal_Mat_Coverage,General_Vegetation,Hydrogeomorphology,River_Gradient,Sample_Notes,Sediment_Latitude,Sediment_Longitude,Water_Depth_cm,Sediment_Collection_Depth_cm,miniDOT_Window_Condition,HOBO_Redeployed_Same_Location,Retrieve_Date,Retrieve_miniDOT_Notes,Retrieve_Cotton_Strip_Notes,Retrieve_Depth_Hobo_Notes,Depth_Hobo_Depth_cm,Retrieve_Notes,Hydrograph_Online
SSS033,S48R,N/A,46.64568,-121.25106,25,Indian Creek,Washington,Perennial, 2022-07-27,PST,Used 2 bricks with sensors zip-tied to edges,Deployed about 2ft upstream of sensor,Hung from small branch in shrub next to sign,2 quadrats with all photo. Site located ~ 75 m upstream of bridge. Access is past the horse fences and along the terrace and then down to river. Sensors/cotton strips deployed in thalweg a little upstream of sign., 2022-08-10,12:30:00,14:30,Sunny,Gravel/cobble (>2mm),None,None,None,Needleleaf evergreen tree; Broadleaf deciduous tree,Multi-channel/Braided,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.64568,-121.2511,4,1-3 cm as described in the protocol,Very slight film,Yes, 2022-08-31,Sensing window clean.,Cotton strips sitting on rocks. Took pictures from side because bricks were angled up. No upstream pictures because bricks were blocking view of cotton strips. Cotton strips were curled but pretty intact.,N/A,13,N/A,N/A
SSS034,S18R,N/A,47.396647,-121.097846,17,Cle Elum River,Washington,Perennial, 2022-07-28,PST,N/A,N/A,When coming up the bank straight from the sensors look for the barotroll in a small tree,Park ahead of camp spot #15. Walk downstream past the whirlpool to calmer water., 2022-08-11,09:00:00,-9999,Sunny,Gravel/cobble (>2mm),None,None,None,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),Cotton strips bricks were found angled up out of the water with the tea infusers facing sky. Both the brick and sensors were found in fairly shallow water near the bank. Based on the HOBO pressure date; there were three large flashy events (quick; substantial increase in pressure follow by an almost as quick and large decrease in pressure); that likely flushed and moved the bricks/sensors from their original location.,47.39659,-121.09769,34,1-3 cm as described in the protocol,Medium film,Yes, 2022-09-01,N/A,Cotton strips were right side up; slightly curled and with little sediment.,N/A,25.4,N/A,N/A
SSS035,S17R,N/A,47.395595,-121.103773,12,Cooper River,Washington,Perennial, 2022-07-28,PST,N/A,N/A,N/A,Access from spot #34., 2022-08-11,12:20:00,-9999,Sunny,Gravel/cobble (>2mm),Low (5-30%),None,None,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),"N/A. Manual chamber data post-processing notes: initial QAQC plots using metadata incubation start/end times indicate that the incubation period was only 16 mins instead 75 mins for both miniDOT (SNs 856289; 186138; and 718459). Upon review of the data; photos; etc.; we determined that the incubation end time was probably manually recorded in DST as opposed to PST. We added 60 mins to the incubation period and replotted the data; which showed that there was 75 mins of data. SGF edited the metadata fields ""Manual_Chamber_Incubation_End_Time_PST"" and Manual_Chamber_Time_Turned_Off_PST"" to add 60 mins; changing the times from 13:10 to 14:10 to reflect the actual data.",47.39559,-121.10405,-9999,1-3 cm as described in the protocol,Slight film,Yes, 2022-09-01,N/A,Very little sediment and curling.,N/A,6.35,Water level was very low. miniDOT and HOBO were about 1ft from shore.,N/A
SSS036,W10,RC3_02,46.867551,-120.774554,19,Wenas Creek,Washington,Perennial, 2022-07-28,PST,miniDOT/wiper deployed on side of two bricks side-by-side w/ hobo on other side,Deployed about 1 ft upstream of miniDOT/wiper,Deployed small tree just downstream of sign,Site located just downstream of bridge in slow-moving deep water. 2 quadrats with all photos collected., 2022-08-12,07:15:00,09:04,Sunny,Gravel/cobble (>2mm),High (>70%),Low (5-30%),Low (5-30%),Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sensors redeployed next to Manta which is being deployed long-term at the site. Manta for RC3 kicked up a lot of sediment around 8:43 am while doing depth transects. This data should be removed.,46.867433,-120.774317,16,1-3 cm as described in the protocol,Clean,No, 2022-09-01,miniDOT off side of brick. Sensing window clean.,Cotton strips nestled in sediment; very muddy and curled.,N/A,13,Manta out of stream at 10:35 and turned off at 10:41,N/A
SSS037,S39,N/A,46.016795,-120.649742,16,Satus Creek,Washington,Perennial, 2022-07-25,PST,Located in main channel below overhanging tree; downstream of access trail,N/A,Deployed on tree just downstream of access trail.,Exit to gravel road is abrupt; take first right when going down the gravel road and follow until dead end. There was a lot of vegetation growth right up to the waters edge. The grain size pictures have a lot of vegetation in them., 2022-08-08,08:35:00,10:54,Sunny,Gravel/cobble (>2mm),High (>70%),Low (5-30%),None,Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Barotroll was moved slightly because the original branch it was on broke,46.016793,-120.649568,15,1-3 cm as described in the protocol,Minimal fouling,Yes, 2022-08-29,No fouling on sensing window.,Cotton strips were curling and had a lot of sediment.,N/A,13,N/A,N/A
SSS038,S38,N/A,46.02911,-120.636487,15,Unnamed Tributary,Washington,Perennial, 2022-07-25,PST,N/A,N/A,N/A,The second picture from the third set of grain size pictures is out of order. Had to retake it because it was blurry. The water is hard to see from the road but is there. Look for a culvert. Take the first right on dirt road, 2022-08-08,11:20:00,13:15,Sunny; Site completely shaded,Gravel/cobble (>2mm),High (>70%),None,Low (5-30%),Broadleaf evergreen tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Very low flow,46.028953,-120.63639,6,1-3 cm as described in the protocol,Minimal fouling,No, 2022-08-29,Sensing window clean.,Cotton strips were curling and had very minimal sediment.,N/A,31,N/A,N/A
SSS039,S37,N/A,46.028309,-120.611551,15,Satus Creek,Washington,Perennial, 2022-07-25,PST,N/A,N/A,N/A,Follow the tiny trail down to the water, 2022-08-08,13:29:00,15:16,Sunny,Gravel/cobble (>2mm),Med (30-70%),Low (5-30%),None,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.028417,-120.611486,20,1-3 cm as described in the protocol,Minimal fouling,Yes, 2022-08-29,Sensing window clean.,One cotton strip ripped. Curling and had a lot of sediment.,N/A,23.5,N/A,N/A
SSS040,S54,N/A,46.68327,-120.940521,15,Tieton River,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,Don't use apple maps. It takes you through a USFS road that is gated; stay on US12 and look for the turnout., 2022-08-09,08:20:00,10:05,Overcast; Raining,Gravel/cobble (>2mm),None,Low (5-30%),None,Needleleaf evergreen tree; Shrub,Multi-channel/Braided,Relatively flat/gentle gradient (e.g.; valleys),Hobo might not be logging. It was relaunched because could not tell if deployed. LR made sure it was GMT-08 and did not change logging interval. miniDOT serial numbers were missing on metadata hard copy. ML/DJD copied miniDOT serial numbers from LP/PR previous metadata sheet.,46.683321,-120.940365,12,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,N/A,Curled and filled with sediment,N/A,61,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS041,S49R,N/A,46.723814,-120.813458,15,Tieton River,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,The sensors were placed further upstream of the access point to try and hide them, 2022-08-09,10:21:00,12:10,Overcast,Gravel/cobble (>2mm),None,Med (30-70%),None,Needleleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.723869,-120.813475,6,1-3 cm as described in the protocol,Minimal fouling,Yes, 2022-08-30,N/A,Cotton strips were found facing up; curled and with a lot of sediment.,N/A,41,N/A,N/A
SSS042,S51,N/A,46.729836,-120.804185,12,Tieton River,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,N/A, 2022-08-09,12:15:00,14:05,Overcast,Gravel/cobble (>2mm),None,Med (30-70%),None,Needleleaf deciduous tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),HOBO/miniDOT deployed about 1ft away from original spot because the water level seemed to have dropped.,46.729792,-120.804057,20,1-3 cm as described in the protocol,Clean,No, 2022-08-30,A lot of worms on the housing.,N/A,N/A,36,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS043,S11,N/A,46.900677,-121.246719,16,Bumping River,Washington,Perennial, 2022-07-27,PST,N/A,N/A,N/A,The turnout is abrupt. We went further downstream of the GPS point to try and hide the sign and sensors. Go far enough down to where there is a bend in the road and stop there., 2022-08-10,07:26:00,09:17,Partly cloudy,Gravel/cobble (>2mm),Low (5-30%),Low (5-30%),None,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.900621,-121.246608,31,1-3 cm as described in the protocol,Clean,Yes, 2022-08-31,N/A,Minimal curling. Not a lot of sediment on them.,N/A,38.5,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS044,S02,N/A,46.97546,-121.158128,12,Bumping River,Washington,Perennial, 2022-07-27,PST,N/A,N/A,N/A,You can walk to this site from S01. Very easy to find. Park ahead of camp spot #7, 2022-08-10,09:36:00,11:24,Sunny,Gravel/cobble (>2mm),Low (5-30%),Low (5-30%),None,Needleleaf deciduous tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.975424,-121.158049,22,1-3 cm as described in the protocol,Minimal fouling,Yes, 2022-08-31,N/A,A lot of sediment and curling.,N/A,35,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS045,S01,N/A,46.976035,-121.157935,16,American River,Washington,Perennial, 2022-07-27,PST,N/A,N/A,N/A,Will have to access from the campground area. Park at spot on side of road where there is a clearing and a trail is spotted ahead of camp spot #7, 2022-08-10,11:25:00,13:15,Sunny,Gravel/cobble (>2mm),Low (5-30%),Med (30-70%),None,Needleleaf deciduous tree; Broadleaf evergreen tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.976016,-121.157924,6,1-3 cm as described in the protocol,N/A,Yes, 2022-08-31,N/A,Cotton strips were facing up and not parallel. Not a lot of sediment and minimal curling.,N/A,10.5,N/A,https://waterdata.usgs.gov/monitoring-location/12488500/#parameterCode=00060&period=P7D
SSS046,S22RR,N/A,47.168241,-120.834455,15,Teanaway River,Washington,Perennial, 2022-07-28,PST,N/A,N/A,N/A,Sensors were placed downstream of main path., 2022-08-11,07:25:00,09:17,Sunny,Gravel/cobble (>2mm),Low (5-30%),Med (30-70%),None,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Cotton strips were moved and on their side. They were placed facing down again.,47.168317,-120.834578,5,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,N/A,Cotton strips were facing up. Little sediment and curling.,N/A,12.7,N/A,https://waterdata.usgs.gov/monitoring-location/12479610/#parameterCode=00060&period=P7D
SSS047,S23,N/A,47.185874,-120.921378,15,Yakima River,Washington,Perennial, 2022-07-28,PST,N/A,N/A,N/A,Sensors are directly out from the tube launch past the bush island in the main channel., 2022-08-11,09:38:00,11:25,Sunny,Gravel/cobble (>2mm),Low (5-30%),Low (5-30%),None,Broadleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),N/A,47.185744,-120.921276,30,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,N/A,Cotton strip assembly was completely gone,N/A,-9999,Sensors were out of the water. The water level was much lower than during deployment.,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS048,S29,N/A,47.08223,-120.733419,47,Taneum Creek,Washington,Perennial, 2022-07-28,PST,Deployed immediately downstream of cotton strips,Nestled primarily among large cobble/boulders in deep pool between boulders,Hung from branch of small poplar tree upstream of sign just past bridge,No quadrats just rip-rap exposed. Bed is rip-rap; boulders; some cobbles. Site located directly under bridge closest to right-hand bank. Creek is predominantly bedrock channel bottom., 2022-08-11,12:15:00,13:59,Sunny,Gravel/cobble (>2mm),Med (30-70%),High (>70%),None,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,47.082186,-120.733367,15,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,Sensing window clean.,Cotton strips were sitting on rocks; very muddy and curled.,N/A,42,N/A,N/A
